File Name,Version,Project,License,Comments
com.liferay.portal.search.elasticsearch6.impl.jar!bcprov-jdk15on.jar,1.59,Bouncy Castle Provider,Bouncy Castle Licence,
com.liferay.portal.search.elasticsearch6.impl.jar!commons-io.jar,2.6,Apache Commons IO,"Apache License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!commons-lang.jar,2.6,Commons Lang,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!elasticsearch-cli.jar,6.5.0,org.elasticsearch#cli;6.5.0,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!elasticsearch-core.jar,6.5.0,org.elasticsearch#core;6.5.0,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!elasticsearch-scripting-painless-spi.jar,6.5.0,org.elasticsearch.plugin#spi;6.5.0,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!elasticsearch-x-content.jar,6.5.0,org.elasticsearch#x-content;6.5.0,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!elasticsearch.jar,6.5.0,org.elasticsearch#server;6.5.0,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!HdrHistogram.jar,2.1.9,HdrHistogram,"Public Domain, per Creative Commons CC0",
com.liferay.portal.search.elasticsearch6.impl.jar!hppc.jar,0.7.1,HPPC Collections,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!httpasyncclient.jar,4.1.3,HttpComponents Apache HttpAsyncClient,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!httpclient.jar,4.4,HttpComponents Apache HttpClient,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!jackson-core.jar,2.9.9,Jackson-core,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!jackson-dataformat-cbor.jar,2.8.10,Jackson dataformat: CBOR,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!jackson-dataformat-smile.jar,2.8.10,Jackson dataformat: Smile,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!jackson-dataformat-yaml.jar,2.8.10,Jackson-dataformat-YAML,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!joda-time.jar,2.9.5,Joda-Time,"Apache License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!jopt-simple.jar,5.0.2,JOpt Simple,The MIT License,
com.liferay.portal.search.elasticsearch6.impl.jar!jsr166e.jar,1.1.0,JSR166e,CC0 1.0 Universal,
com.liferay.portal.search.elasticsearch6.impl.jar!jts.jar,1.13,JTS Topology Suite,Lesser General Public License (LGPL),
com.liferay.portal.search.elasticsearch6.impl.jar!lang-mustache-client.jar,6.5.0,org.elasticsearch.plugin#lang-mustache;6.5.0,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!log4j-api.jar,2.11.2,Apache Log4j API,"Apache License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!log4j-core.jar,2.11.2,Apache Log4j Core,"Apache License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!lucene-analyzers-common.jar,7.5.0,Lucene Common Analyzers,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!lucene-core.jar,7.5.0,Lucene Core,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!lucene-grouping.jar,7.5.0,Lucene Grouping,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!lucene-highlighter.jar,7.5.0,Lucene Highlighter,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!lucene-join.jar,7.5.0,Lucene Join,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!lucene-memory.jar,7.5.0,Lucene Memory,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!lucene-misc.jar,7.5.0,Lucene Miscellaneous,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!lucene-queries.jar,7.5.0,Lucene Queries,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!lucene-queryparser.jar,7.5.0,Lucene QueryParsers,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!lucene-sandbox.jar,7.5.0,Lucene Sandbox,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!lucene-spatial.jar,7.5.0,Lucene Spatial,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!lucene-suggest.jar,7.5.0,Lucene Suggest,"The Apache Software License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!netty-all.jar,4.1.11.Final,Netty/All-in-One,"Apache License, Version 2.0",
com.liferay.portal.search.elasticsearch6.impl.jar!org.elasticsearch.analysis.common.jar,6.5.0,org.elasticsearch.plugin#analysis-common;6.5.0,"Apache License, Version 2.0",
